timestamp,groundSteering
1584543153123020,0
1584543153223548,0
1584543153324071,0
1584543153424650,0
1584543153525387,0
1584543153626064,0
1584543153726778,0
1584543153827300,0
1584543153927818,0.01500292
1584543154028369,0.0749791
1584543154128921,0.0749791
1584543154229482,0.06597735
1584543154330212,0.06597735
1584543154430901,0.06298564
1584543154531533,0.06597735
1584543154632133,0.06597735
1584543154732706,0.06597735
1584543154833487,0.06597735
1584543154934116,0.06597735
1584543155034801,0.06597735
1584543155135951,0.06597735
1584543155235611,0.06597735
1584543155336232,0.0239958
1584543155436705,0
1584543155537348,0
1584543155637903,0
1584543155738429,0
1584543155839019,0
1584543155939695,0
1584543156040586,0
1584543156141301,0
1584543156241777,0
1584543156342275,0
1584543156442783,0
1584543156543453,0
1584543156644115,0
1584543156744836,0
1584543156845770,0
1584543156946410,0
1584543157047042,0
1584543157147740,0
1584543157248435,0
1584543157349147,0
1584543157449885,0
1584543157550652,0
1584543157651396,0
1584543157752031,0
1584543157852710,0
1584543157953381,0
1584543158054075,0.03297979
1584543158154762,0.08096252
1584543158255449,0.08096252
1584543158356151,0.08096252
1584543158456859,0.08096252
1584543158557562,0.08096252
1584543158658260,0.08096252
1584543158758907,0.08096252
1584543158859606,0.08096252
1584543158960319,0.08096252
1584543159061057,0.08096252
1584543159161756,0.08096252
1584543159262438,0.0779708
1584543159363105,0.08096252
1584543159463822,0.08096252
1584543159564505,0.08996427
1584543159665179,0.08996427
1584543159765831,0.09296485
1584543159866485,0.09895714
1584543159967136,0.09895714
1584543160067824,0.1139512
1584543160168533,0.152941
1584543160269272,0.1559416
1584543160369970,0.1679351
1584543160470860,0.2189184
1584543160570885,0.2489065
1584543160671686,0.2459059
1584543160772255,0.2159178
1584543160872883,0.1799285
1584543160973549,0.1829291
1584543161074191,0.1709357
1584543161174870,0.09296485
1584543161275795,0
1584543161376663,0
1584543161477344,0
1584543161578020,0.0749791
1584543161678723,0.05998505
1584543161779351,0
1584543161880054,0
1584543161980726,0
1584543162081432,0
1584543162182045,0
1584543162282702,0
1584543162383346,0
1584543162483920,0
1584543162584453,0
1584543162685070,0
1584543162785700,0
1584543162886376,0
1584543162986952,0
1584543163087630,0
1584543163188287,0
1584543163288888,0
1584543163389424,0
1584543163489887,0
1584543163590337,0
1584543163690791,0
1584543163791346,0
1584543163891799,0
1584543163992348,0
1584543164092998,0
1584543164193815,0
1584543164294577,0
1584543164395097,0
1584543164495619,0
1584543164596063,0
1584543164696533,0.008992876
1584543164796995,0.03297979
1584543164897458,0
1584543164997902,0
1584543165098359,0
1584543165198800,0
1584543165299330,0
1584543165399782,0
1584543165500221,0
1584543165600675,0
1584543165701578,0
1584543165802288,0
1584543165902771,0
1584543166003240,0
1584543166103750,0
1584543166204191,0
1584543166304642,0
1584543166405169,0
1584543166505877,0
1584543166606810,0
1584543166707610,0.02398692
1584543166808124,0
1584543166908614,0
1584543167009095,0
1584543167109501,0
1584543167210054,0
1584543167310514,0
1584543167410948,0
1584543167511528,0.002991707
1584543167612007,0.137947
1584543167712481,0.1319458
1584543167812920,0.1319458
1584543167913348,0.1319458
1584543168013929,0.1319458
1584543168114820,0.1229529
1584543168215529,0.1229529
1584543168316026,0.1229529
1584543168416465,0.1229529
1584543168516920,0.1229529
1584543168617422,0.1229529
1584543168718031,0.1229529
1584543168818572,0.1499404
1584543168919264,0.2009238
1584543169019722,0.2099255
1584543169120231,0.2009238
1584543169220676,0
1584543169321196,0
1584543169421784,0
1584543169522529,0
1584543169623194,0
1584543169723891,0.1259535
1584543169824593,0
1584543169925101,0
1584543170025679,0
1584543170126227,0
1584543170226759,0
1584543170327205,0
1584543170428033,0.09895714
1584543170528970,0.0839631
1584543170629694,0
1584543170730417,0
1584543170831326,0
1584543170932120,0
1584543171032776,0
1584543171133377,0
1584543171234053,0
1584543171334872,0
1584543171435555,0
1584543171536026,0
1584543171636479,0.008992876
1584543171737063,0
1584543171837547,0
1584543171938051,0
1584543172038563,0
1584543172139135,0
1584543172239772,0
1584543172340347,0
1584543172440992,0
1584543172541658,0
1584543172642391,0
1584543172743146,0
1584543172843971,0
1584543172944727,0
1584543173045461,0.1619428
1584543173146266,0.1889392
1584543173246989,0
1584543173347914,0
1584543173449474,0
1584543173550146,0
1584543173650947,0
1584543173751724,0.1049583
1584543173852256,0
1584543173952835,0
1584543174053476,0.1259535
1584543174154102,0.1229529
1584543174255026,0.1169518
1584543174355882,0.09895714
1584543174456459,0.0779708
1584543174557096,0.0779708
1584543174657745,0.0779708
1584543174758402,0.0779708
1584543174859066,0.0779708
1584543174959733,0.0779708
1584543175060651,0.01499404
1584543175160663,0
1584543175261373,0
1584543175361882,0
1584543175462440,0.1169518
1584543175563044,0.06896906
1584543175663692,0
1584543175764250,0
1584543175864858,0
1584543175965468,0.01199346
1584543176066054,0.01199346
1584543176166679,0.1229529
1584543176267686,0.1409476
1584543176367367,0.05997618
1584543176467922,0.1169518
1584543176568762,0.2878963
1584543176669799,0.290888
1584543176770561,0.290888
1584543176871159,0.290888
1584543176971793,0.290888
1584543177072421,0.2519071
1584543177173047,0.002991707
1584543177273644,0
1584543177374223,0.1589422
1584543177475149,0.08996427
1584543177575857,0
1584543177676411,0
1584543177776986,0.1169518
1584543177877539,0.1139512
1584543177978051,0
1584543178078590,0.02098634
1584543178179178,0.2788945
1584543178279968,0.2549076
1584543178380835,0
1584543178481630,0
1584543178582203,0
1584543178682762,0
1584543178783255,0
1584543178883773,0
1584543178984259,0.05997618
1584543179084912,0
1584543179185424,0
1584543179285934,0
1584543179386387,0
1584543179486869,0
1584543179587343,0.02998809
1584543179687821,0.03598038
1584543179788593,0.01798575
1584543179889390,0
1584543179990140,0
1584543180090702,0
1584543180191238,0
1584543180291689,0
1584543180392112,0
1584543180492535,0
1584543180592989,0
1584543180693457,0
1584543180793903,0
1584543180894329,0
1584543180994798,0.003000584
1584543181095287,0.0749791
1584543181195812,0.09896602
1584543181296297,0.08097139
