timestamp,groundSteering,groundTruth
1584542902275793,-0.356,-0
1584542902674047,0.028,-0
1584542902775615,0.028,-0
1584542902875941,0.027,-0
1584542902973341,0.027,-0
1584542903073559,0.027,-0
1584542903173470,0.027,-0
1584542903275335,0.027,-0
1584542903373892,0.027,-0
1584542903473243,0.027,-0
1584542903573217,0.027,-0
1584542903676744,0.027,-0
1584542903775273,0.027,-0
1584542903873423,0.027,-0
1584542903973577,0.029,-0
1584542904073153,0.032,-0
1584542904173174,0.04,-0
1584542904275508,0.046,-0
1584542904373184,0.06,-0
1584542904475625,0.042,-0
1584542904573379,0.044,-0
1584542904673871,0.031,0.0719785
1584542904775115,0.017,0.0719785
1584542904873158,0.004,0.0719785
1584542904978991,0.141,0.0719785
1584542905073144,0.135,0.0719785
1584542905173099,0.129,0.0719785
1584542905279460,0.121,0.0719785
1584542905376973,0.121,0.0749791
1584542905473325,0.087,0.149949
1584542905572814,0.051,0.149949
1584542905673642,0.051,0.131955
1584542905775478,0.051,0.0929737
1584542905872995,0.02,0.0659773
1584542905972813,0.059,0.0599851
1584542906072914,0.085,0.0569845
1584542906175966,0.039,0.0569845
1584542906275501,0.105,0.0749791
1584542906373155,0.077,0.0749791
1584542906472786,0.041,0.0779797
1584542906572935,-0.003,0.0779797
1584542906673772,0.122,0.0779797
1584542906774913,0.122,0.0779797
1584542906872686,0.085,0.101967
1584542906972834,0.066,0.11396
1584542907072776,0.047,0.110968
1584542907172555,0.02,0.11396
1584542907274935,0.15,0.110968
1584542907372737,0.137,0.110968
1584542907472599,0.121,0.110968
1584542907573295,0.104,0.110968
1584542907676450,0.074,0.110968
1584542907775069,0.035,-0
1584542907872893,-0.014,-0
1584542907972860,-0,-0
1584542908072412,-0.095,-0
1584542908172598,-0.09,-0.113951
1584542908275075,-0.085,-0
1584542908372625,-0.074,-0.0179858
1584542908472654,-0.039,-0.0509744
1584542908572519,-0.003,-0
1584542908673095,-0.178,-0
1584542908774540,-0.082,-0
