timestamp,groundSteering,groundTruth
1584543153924685,0.04,0.0150029
1584543154524661,0.04,0.0629856
1584543154625490,0.04,0.0659773
1584543154726542,0.04,0.0659773
1584543154824699,0.04,0.0659773
1584543154924791,0.04,0.0659773
1584543155024622,0.039,0.0659773
1584543155124660,0.038,0.0659773
1584543155230154,0.034,0.0659773
1584543155324559,0.028,0.0659773
1584543155424526,0.019,0.0239958
1584543155524320,0.009,-0
1584543155625483,0.001,-0
1584543155726937,-0.001,-0
1584543155824256,-0.002,-0
1584543155924467,-0.003,-0
1584543156027088,-0.004,-0
1584543156124496,-0.006,-0
1584543156226583,-0.007,-0
1584543156324612,-0.006,-0
1584543156425245,-0.004,-0
1584543156524355,-0.008,-0
1584543156624896,-0.01,-0
1584543156726057,-0.013,-0
1584543156827240,-0.014,-0
1584543156924110,-0.017,-0
1584543157024046,-0.02,-0
1584543157124190,-0.026,-0
1584543157225964,-0.032,-0
1584543157323968,-0.04,-0
1584543157424131,0.03,-0
1584543157523936,0.042,-0
1584543157624792,-0.047,-0
1584543157726186,-0.05,-0
1584543157823950,-0.052,-0
1584543157923955,-0.057,-0
1584543158024150,-0.043,-0
1584543158123962,-0.023,-0.0329798
1584543158225965,0.004,-0.0809625
1584543158324029,-0.087,-0.0809625
1584543158423960,-0.064,-0.0809625
1584543158523887,-0.026,-0.0809625
1584543158625049,-0.16,-0.0809625
1584543158725863,-0.073,-0.0809625
1584543158823937,-0.036,-0.0809625
1584543158923935,-0.109,-0.0809625
1584543159023732,-0.085,-0.0809625
1584543159123900,-0.054,-0.0809625
1584543159226086,-0.012,-0.0809625
1584543159323608,-0.112,-0.0779708
1584543159424094,-0.088,-0.0809625
1584543159523941,-0.061,-0.0809625
1584543159624597,-0.031,-0.0899643
1584543159725498,0.005,-0.0899643
1584543159823916,-0.21,-0.0929649
1584543159923893,-0.202,-0.0989571
1584543160023702,-0.077,-0.0989571
1584543160123880,-0.044,-0.113951
1584543160225528,0.001,-0.152941
1584543160323703,-0.267,-0.155942
1584543160426724,-0.255,-0.167935
1584543160523644,-0.238,-0.218918
1584543160624063,-0.037,-0.248906
1584543160726031,-0.037,-0.245906
1584543160823369,-0.037,-0.215918
1584543160923305,-0.037,-0.179929
1584543161023901,-0.037,-0.182929
1584543161123679,-0.033,-0.170936
1584543161230099,-0.033,-0.0929649
1584543161324087,-0.021,-0
1584543161423220,-0.048,-0
1584543161523282,-0.008,-0
1584543161624367,0.013,0.0749791
1584543161725378,0.028,0.0599851
1584543161823435,0.013,-0
1584543161923272,0.034,-0
1584543162023121,0.016,-0
1584543162123252,0.013,-0
1584543162225450,0.011,-0
1584543162323322,0.01,-0
1584543162423001,0.009,-0
1584543162523582,0.005,-0
1584543162623600,0.003,-0
1584543162725145,-0.004,-0
1584543162823317,-0.008,-0
1584543162922881,-0.012,-0
1584543163022852,-0.016,-0
1584543163123027,-0.017,-0
1584543163225186,-0.018,-0
1584543163322807,-0.021,-0
1584543163422946,-0.026,-0
1584543163522727,0.062,-0
1584543163623407,0.076,-0
1584543163725035,-0.038,-0
1584543163822699,-0.045,-0
1584543163922666,-0.051,-0
