timestamp,groundSteering,groundTruth
1584543045149389,0.042,-0
1584543045247983,0.038,-0
1584543045345771,0.026,-0
1584543045445692,0.011,-0
1584543045545908,0.139,0.0509833
1584543045646290,0.138,0.0779797
1584543045747715,0.135,0.0629856
1584543045845870,0.135,0.0629856
1584543045945571,0.193,0.0599851
1584543046045592,0.098,0.0599851
1584543046146053,0.078,0.0629856
1584543046247654,0.052,0.0599851
1584543046345494,0.021,0.0629856
1584543046445878,0.157,0.0599851
1584543046545911,0.207,0.0629856
1584543046649756,0.201,0.0629856
1584543046747832,0.196,0.0629856
1584543046845697,0.189,0.0629856
1584543046945551,0.182,0.0809714
1584543047045621,0.042,0.0959743
1584543047145330,0.231,0.0929737
1584543047247562,0.221,0.0959743
1584543047345745,0.209,0.116961
1584543047448977,0.262,0.137956
1584543047545844,0.25,0.0719785
1584543047646347,0.233,0.0629856
1584543047747604,0.216,0.0629856
1584543047845561,0.271,0.0629856
1584543047945544,0.267,0.134955
1584543048045230,0.263,0.134955
1584543048145195,0.256,0.134955
1584543048252226,0.237,0.134955
1584543048345883,0.217,0.131955
1584543048445385,0.217,0.131955
1584543048545503,0.217,0.134955
1584543048645857,0.191,0.134955
1584543048747544,0.167,0.0599851
1584543048845223,0.14,-0
1584543048945060,0.109,-0.287896
1584543049045391,0.091,-0
1584543049145130,0.084,-0
1584543049247735,0.104,-0
1584543049345288,0.099,0.278903
1584543049445107,0.099,0.290888
1584543049545114,0.041,-0
1584543049645613,-0.01,-0
1584543049747678,-0.003,-0
1584543049844882,0.007,-0.290888
1584543049945066,-0.095,-0.290888
1584543050045019,-0.088,-0
1584543050144796,-0.059,-0
1584543050247337,-0.014,-0.0659685
1584543050345046,-0.132,-0.122953
1584543050444744,-0.126,-0
1584543050544737,-0.11,-0.0569756
1584543050645522,-0.082,-0.134946
1584543050747416,-0.062,-0.116952
1584543050844637,-0.035,-0.113951
1584543050944762,-0.118,-0.14994
1584543051044568,-0.09,-0.137947
1584543051144538,-0.054,-0
1584543051247572,-0.006,0.0120023
1584543051344522,-0.051,0.00900175
1584543051444478,0.04,0.0209952
1584543051544658,0.054,0.0120023
1584543051645139,-0.001,-0
1584543051746618,-0.006,-0
1584543051844738,-0.015,0.0389898
1584543051944390,-0.023,0.0479916
1584543052044325,0.087,-0
1584543052144497,0.058,0.0150029
1584543052246552,0.052,0.0120023
1584543052344293,0.05,0.00300058
1584543052444449,0.033,0.0329887
1584543052546880,0.008,0.0599851
1584543052645069,0.129,0.0569845
1584543052746717,0.122,0.0569845
1584543052844283,0.122,0.0869726
1584543052944160,0.092,0.0539839
1584543053044435,0.07,0.0269964
1584543053144320,0.034,0.0959743
1584543053246299,0.154,0.107968
1584543053346708,0.143,0.143957
1584543053447068,0.143,0.146949
1584543053547377,0.143,0.143957
1584543053645093,0.047,0.140956
1584543053746806,0.047,0.0509833
1584543053844069,0.094,-0
1584543053944242,0.032,-0
1584543054044082,0.093,-0
1584543054143935,0.085,-0
1584543054246178,0.095,-0
1584543054346971,0.088,0.0150029
1584543054444177,0.079,0.0749791
1584543054544381,0.068,0.0749791
1584543054644574,0.05,0.0749791
1584543054745931,0.022,0.0959743
1584543054844014,0.129,0.125962
1584543054944038,0.178,0.125962
1584543055043836,0.085,0.110968
1584543055144021,0.048,0.0929737
1584543055245971,-0.003,0.0929737
1584543055343830,0.173,0.0749791
1584543055444023,0.079,0.0719785
1584543055544121,0.051,0.0749791
1584543055644527,0.021,0.0749791
1584543055746044,-0.006,0.0749791
1584543055843970,0.107,0.0749791
1584543055944013,0.092,0.0749791
1584543056044204,0.078,0.0749791
1584543056143927,0.063,0.0749791
1584543056246747,0.046,0.0749791
1584543056344015,0.027,0.0749791
1584543056444101,0.007,0.0749791
1584543056543580,0.121,0.0689779
1584543056644395,0.112,0.0659773
1584543056745816,0.104,0.0659773
1584543056843687,0.096,0.0599851
1584543056943993,0.088,0.0569845
1584543057043724,0.077,0.0479916
1584543057143800,0.071,-0
1584543057245910,0.053,0.0209952
1584543057343574,0.038,0.0749791
1584543057443623,0.021,0.0959743
1584543057543598,0.001,0.098966
1584543057644296,0.14,0.098966
1584543057745423,0.136,0.0959743
1584543057843503,0.126,0.101967
1584543057943932,0.068,0.098966
1584543058043365,0.054,0.0929737
1584543058143480,0.012,0.0809714
1584543058245278,0.1,0.0719785
1584543058343377,0.078,0.0719785
1584543058443589,0.056,0.0689779
1584543058543290,0.033,0.0719785
1584543058643988,0.007,0.0719785
1584543058745463,0.011,-0
1584543058843376,0.017,-0
1584543058943080,0.068,-0
1584543059043247,-0.054,-0
1584543059143032,-0.058,-0
1584543059244950,-0.066,-0.038981
1584543059345665,-0.075,-0
1584543059443329,-0.084,-0
1584543059543086,-0.082,-0
1584543059643803,-0.07,-0
1584543059744844,0.021,-0
1584543059842905,0.038,-0
1584543059943052,0.064,-0
1584543060042880,-0.03,-0
1584543060145438,-0.028,-0
1584543060248492,-0.024,-0
1584543060342991,-0.021,-0
1584543060442866,-0.016,-0
1584543060542938,-0.012,-0
1584543060643439,-0.007,-0
1584543060744676,-0,-0
1584543060842894,0.004,-0
1584543060942715,0.004,-0
1584543061042687,0.007,-0
1584543061142864,0.012,-0
1584543061244565,0.014,-0
1584543061342628,0.019,-0
1584543061442777,0.026,-0
1584543061542620,0.035,-0
1584543061643232,0.047,-0
1584543061748031,0.059,-0
1584543061845674,0.018,0.044991
1584543061942959,0.017,0.0479916
1584543062042785,-0,0.0479916
1584543062142578,0.113,0.0479916
1584543062244393,0.109,0.0479916
1584543062342647,0.102,0.0479916
1584543062442655,0.088,0.0479916
1584543062542455,0.074,0.0479916
1584543062643656,0.055,0.0479916
1584543062744510,0.032,0.0479916
1584543062842528,0.003,0.0479916
1584543062942788,0.091,0.0479916
1584543063042337,0.075,0.0479916
1584543063142311,0.056,0.0479916
1584543063244228,0.03,0.0479916
1584543063342280,0.002,0.0479916
1584543063444966,0.105,0.0539839
1584543063542609,0.088,0.125962
1584543063643572,0.067,0.164943
1584543063743820,0.029,0.164943
1584543063842315,0.204,0.140956
1584543063942374,0.072,0.107968
1584543064042123,0.008,0.110968
1584543064142373,0.008,0.0120023
1584543064247872,0.065,0.0120023
1584543064342824,0.026,0.0239958
1584543064442641,0.143,0.0959743
1584543064542041,0.24,0.164943
1584543064642726,0.239,0.188939
1584543064744520,0.221,0.221928
1584543064842173,0.017,0.125962
1584543064941966,0.017,0.0509833
1584543065044750,0.017,0.0329887
1584543065142077,0.072,0.143957
1584543065244031,0.042,0.140956
1584543065341988,-0.011,0.137956
1584543065441871,-0.034,-0
1584543065542189,0.016,-0
1584543065642679,-0.037,-0
1584543065743877,-0.05,-0
1584543065844985,-0.06,-0
1584543065941846,-0.045,-0
1584543066041926,-0.024,-0.0629768
1584543066141695,0.062,-0
1584543066244068,-0.05,-0
1584543066341602,-0.035,-0
1584543066441804,-0.028,-0
1584543066541865,-0.024,-0
1584543066642211,-0.022,-0
1584543066743639,-0.019,-0
1584543066842542,0.09,-0
1584543066941501,0.002,-0
1584543067041447,0.009,-0
1584543067141721,0.017,-0
1584543067244400,0.026,-0
1584543067341495,0.04,-0
1584543067441557,0.061,-0
1584543067541389,-0.007,-0
1584543067641983,-0.008,0.281904
1584543067743553,-0.015,0.149949
1584543067841330,-0.008,-0
1584543067941331,-0.035,-0
1584543068041621,-0.042,-0
1584543068141309,-0.062,-0
1584543068243355,-0.076,-0
1584543068341397,-0.065,-0
1584543068441241,0.007,-0
1584543068541204,0.021,-0.122953
1584543068641996,-0.098,-0
1584543068743252,-0.102,-0
1584543068841240,-0.072,-0
1584543068941299,-0.072,-0
1584543069041168,-0.073,-0
1584543069141141,0.017,-0
1584543069243343,0.039,-0
1584543069341081,0.068,-0
1584543069441086,-0.039,-0
1584543069541261,-0.037,-0
1584543069641687,-0.034,-0
1584543069743007,-0.033,-0
1584543069841361,-0.028,-0
1584543069940919,-0.022,-0
1584543070040889,0.005,-0
1584543070141235,0.009,0.140956
1584543070243170,0.016,0.200933
1584543070341315,0.016,-0
1584543070441522,0.022,-0
1584543070540872,-0.052,-0
1584543070642017,-0.061,-0
1584543070743346,0.047,-0
1584543070840901,0.078,-0
1584543070940860,0.072,-0
1584543071041117,0.061,-0
1584543071140805,0.048,-0
1584543071242778,0.033,0.290888
1584543071340893,0.008,0.290888
1584543071440638,0.19,0.290888
