timestamp,groundSteering,groundTruth
1584543602438522,0.033,-0
1584543603240807,0.031,-0
1584543603337661,0.032,-0
1584543603437809,0.032,-0
1584543603538544,0.033,-0
1584543603639600,0.033,-0
1584543603737793,0.033,-0
1584543603837501,0.033,-0
1584543603937598,0.033,-0
1584543604040350,0.034,-0
1584543604140075,0.034,-0
1584543604237823,0.034,-0
1584543604337644,0.037,-0
1584543604437705,0.043,-0
1584543604538070,0.049,-0
1584543604639546,0.059,-0
1584543604737739,0.069,-0
1584543604840101,0.037,0.0329887
1584543604937965,0.032,0.0809714
1584543605037302,0.007,0.125962
1584543605139348,0.13,0.173945
1584543605237422,0.119,0.0929737
1584543605337238,0.1,0.0779797
1584543605437522,0.078,0.0239958
1584543605538240,0.061,0.0179946
1584543605643226,0.046,0.0209952
1584543605737754,0.035,0.0209952
1584543605837370,0.021,0.0749791
1584543605937452,0.003,0.083972
1584543606037416,0.102,0.0150029
1584543606139769,0.09,0.00900175
1584543606237049,0.075,0.0120023
1584543606337265,0.063,0.0569845
1584543606439417,0.05,0.098966
1584543606538861,0.029,0.125962
1584543606639140,-0,0.125962
1584543606737260,0.218,0.128963
1584543606837061,0.204,0.128963
1584543606936887,0.189,0.128963
1584543607037208,0.08,0.128963
1584543607139115,0.044,0.125962
1584543607237076,0.001,0.0809714
1584543607337001,0.189,0.0719785
1584543607437062,0.089,0.0749791
1584543607537436,0.065,0.0749791
1584543607639169,0.036,0.11396
1584543607736785,-0,0.11396
1584543607836792,0.206,0.116961
1584543607936984,0.192,0.170945
1584543608036719,0.057,0.140956
1584543608138865,-0,0.122962
1584543608236804,-0,0.110968
1584543608336699,0.068,0.0120023
1584543608436737,-0.017,-0
1584543608537539,-0.035,-0
1584543608638886,0.065,-0
1584543608736934,0.077,-0
1584543608837139,0.089,-0
1584543608936872,0.085,-0
1584543609036593,0.079,-0
1584543609139285,-0.005,-0
1584543609236462,0.045,-0
1584543609336435,0.042,-0
1584543609436573,-0.035,-0
1584543609537050,0.026,-0
1584543609638585,0.024,-0
1584543609736530,0.021,-0
1584543609836327,0.017,-0
1584543609936351,0.009,-0
1584543610036535,-0.069,-0
1584543610142650,-0.087,-0
1584543610236240,-0.098,-0
1584543610336514,-0.094,-0.0119935
1584543610436196,-0.083,-0.0239869
1584543610536843,-0.07,-0.0779708
1584543610638469,-0.052,-0.0779708
1584543610736399,-0.017,-0.119952
1584543610836378,-0.118,-0.14994
1584543610936345,-0.092,-0.116952
1584543611036135,-0.049,-0.0419816
1584543611138309,0.025,-0.0209863
1584543611236360,-0.032,-0
1584543611336049,-0.008,-0
1584543611436259,0.011,-0
